element;interface;description;admin_status;line_protocol;bandwidth_kbit
RT-CORE-BSB-01;Loopback0;SYSTEM_ROUTER_ID_192.0.2.1;UP;UP;1000000
RT-CORE-BSB-01;HundredGigE0/0/0/1;CONEXAO_COM_RT-CORE-SPO-01_HUNDREDGIGE0/0/0/1;UP;UP;100000
RT-CORE-BSB-01;HundredGigE0/0/0/2;CONEXAO_COM_RT-CORE-RJO-01_HUNDREDGIGE0/0/0/2;UP;UP;100000
RT-CORE-BSB-01;HundredGigE0/0/0/3;CONEXAO_COM_RT-CORE-FOR-01_HUNDREDGIGE0/0/0/3;UP;UP;100000
RT-CORE-BSB-01;TenGigE0/1/0/4;CONEXAO_COM_RT-AGGR-BHZ-01_TENGIGE0/1/0/4;UP;UP;10000
RT-CORE-BSB-01;TenGigE0/1/0/5;CONEXAO_COM_RT-AGGR-SSA-01_TENGIGE0/1/0/5;UP;UP;10000
RT-CORE-BSB-01;HundredGigE0/0/0/6;CONEXAO_COM_RT-AGGR-BEL-01_HUNDREDGIGE0/0/0/6;UP;UP;100000
RT-CORE-BSB-01;TenGigE0/1/0/7;CONEXAO_COM_RT-AGGR-MAO-01_TENGIGE0/1/0/7;UP;UP;10000
RT-CORE-BSB-01;HundredGigE0/0/0/8;CONEXAO_COM_RT-AGGR-CGB-01_HUNDREDGIGE0/0/0/8;UP;UP;100000
RT-CORE-BSB-01;TenGigE0/1/0/9;CONEXAO_COM_SW-DIST-BSB-01_TENGIGE0/1/0/9;UP;UP;10000
RT-CORE-BSB-01;TenGigE0/1/0/10;CONEXAO_COM_SW-DIST-BSB-02_TENGIGE0/1/0/10;UP;UP;10000
RT-CORE-BSB-01;HundredGigE0/0/0/11;CONEXAO_COM_DW-OPT-BSB-01_HUNDREDGIGE0/0/0/11;UP;UP;100000
RT-CORE-SPO-01;Loopback0;SYSTEM_ROUTER_ID_192.0.2.2;UP;UP;1000000
RT-CORE-SPO-01;HundredGigE0/0/0/1;CONEXAO_COM_RT-CORE-BSB-01_HUNDREDGIGE0/0/0/1;UP;UP;100000
RT-CORE-SPO-01;HundredGigE0/0/0/2;CONEXAO_COM_RT-CORE-RJO-01_HUNDREDGIGE0/0/0/2;UP;UP;100000
RT-CORE-SPO-01;HundredGigE0/0/0/3;CONEXAO_COM_RT-CORE-FOR-01_HUNDREDGIGE0/0/0/3;UP;UP;100000
RT-CORE-SPO-01;HundredGigE0/0/0/4;CONEXAO_COM_RT-AGGR-CWB-01_HUNDREDGIGE0/0/0/4;UP;UP;100000
RT-CORE-SPO-01;TenGigE0/1/0/5;CONEXAO_COM_RT-AGGR-POA-01_TENGIGE0/1/0/5;UP;UP;10000
RT-CORE-SPO-01;HundredGigE0/0/0/6;CONEXAO_COM_RT-AGGR-BHZ-01_HUNDREDGIGE0/0/0/6;UP;UP;100000
RT-CORE-SPO-01;TenGigE0/1/0/7;CONEXAO_COM_RT-AGGR-CGB-01_TENGIGE0/1/0/7;UP;UP;10000
RT-CORE-SPO-01;TenGigE0/1/0/8;CONEXAO_COM_SW-DIST-SPO-01_TENGIGE0/1/0/8;UP;UP;10000
RT-CORE-SPO-01;TenGigE0/1/0/9;CONEXAO_COM_SW-DIST-SPO-02_TENGIGE0/1/0/9;UP;UP;10000
RT-CORE-SPO-01;HundredGigE0/0/0/10;CONEXAO_COM_PTT-IX-SPO-01_HUNDREDGIGE0/0/0/10;UP;UP;100000
RT-CORE-SPO-01;HundredGigE0/0/0/11;CONEXAO_COM_DW-OPT-SPO-01_HUNDREDGIGE0/0/0/11;UP;UP;100000
RT-CORE-RJO-01;Loopback0;SYSTEM_ROUTER_ID_192.0.2.3;UP;UP;1000000
RT-CORE-RJO-01;HundredGigE0/0/0/1;CONEXAO_COM_RT-CORE-SPO-01_HUNDREDGIGE0/0/0/1;UP;UP;100000
RT-CORE-RJO-01;HundredGigE0/0/0/2;CONEXAO_COM_RT-CORE-BSB-01_HUNDREDGIGE0/0/0/2;UP;UP;100000
