endpoint_a;endpoint_b;connection_text;strokeWidth;strokeColor;dashed;fontStyle;fontSize
RT-CORE-BSB-01;RT-CORE-SPO-01;1x 100G;3;#006400;;;
RT-CORE-SPO-01;RT-CORE-RJO-01;2x 100G;3;#006400;;;
RT-CORE-BSB-01;RT-CORE-RJO-01;1x 100G;3;#006400;;;
RT-CORE-FOR-01;RT-CORE-BSB-01;1x 100G;3;#006400;;;
RT-CORE-FOR-01;RT-CORE-SPO-01;1x 100G;3;#006400;;;
RT-CORE-SPO-01;RT-AGGR-CWB-01;1x 40G;3;#006400;;;
RT-AGGR-CWB-01;RT-AGGR-POA-01;1x 40G;3;#006400;;;
RT-CORE-SPO-01;RT-AGGR-POA-01;2x 10G;2;#0085DA;;;
RT-CORE-SPO-01;RT-AGGR-BHZ-01;1x 40G;3;#006400;;;
RT-CORE-RJO-01;RT-AGGR-BHZ-01;1x 40G;3;#006400;;;
RT-CORE-BSB-01;RT-AGGR-BHZ-01;1x 10G;2;#0085DA;;;
RT-CORE-FOR-01;RT-AGGR-REC-01;1x 40G;3;#006400;;;
RT-AGGR-REC-01;RT-AGGR-SSA-01;1x 40G;3;#006400;;;
RT-CORE-BSB-01;RT-AGGR-SSA-01;2x 10G;2;#0085DA;;;
RT-CORE-BSB-01;RT-AGGR-BEL-01;1x 40G;3;#006400;;;
RT-CORE-BSB-01;RT-AGGR-MAO-01;2x 10G;2;#0085DA;;;
RT-AGGR-BEL-01;RT-AGGR-MAO-01;1x 10G;2;#0085DA;;;
RT-CORE-BSB-01;RT-AGGR-CGB-01;1x 40G;3;#006400;;;
RT-CORE-SPO-01;RT-AGGR-CGB-01;1x 10G;2;#0085DA;;;
SW-DIST-SPO-01;RT-CORE-SPO-01;2x 10G;2;#0085DA;;;
SW-DIST-SPO-02;RT-CORE-SPO-01;2x 10G;2;#0085DA;;;
SW-DIST-RJO-01;RT-CORE-RJO-01;2x 10G;2;#0085DA;;;
SW-DIST-RJO-02;RT-CORE-RJO-01;2x 10G;2;#0085DA;;;
SW-DIST-BSB-01;RT-CORE-BSB-01;2x 10G;2;#0085DA;;;
SW-DIST-BSB-02;RT-CORE-BSB-01;2x 10G;2;#0085DA;;;
SW-DIST-POA-01;RT-AGGR-POA-01;2x 10G;2;#0085DA;;;
SW-DIST-CWB-01;RT-AGGR-CWB-01;2x 10G;2;#0085DA;;;
SW-DIST-BHZ-01;RT-AGGR-BHZ-01;2x 10G;2;#0085DA;;;
SW-DIST-SSA-01;RT-AGGR-SSA-01;2x 10G;2;#0085DA;;;
SW-DIST-REC-01;RT-AGGR-REC-01;2x 10G;2;#0085DA;;;
SW-DIST-FOR-01;RT-CORE-FOR-01;2x 10G;2;#0085DA;;;
PTT-IX-SPO-01;RT-CORE-SPO-01;1x 100G;3;#006400;;;
PTT-IX-FOR-01;RT-CORE-FOR-01;1x 100G;3;#006400;;;
PTT-IX-RJO-01;RT-CORE-RJO-01;1x 100G;3;#006400;;;
DW-OPT-SPO-01;RT-CORE-SPO-01;1x 100G;3;#006400;;;
DW-OPT-RJO-01;RT-CORE-RJO-01;1x 100G;3;#006400;;;
DW-OPT-BSB-01;RT-CORE-BSB-01;1x 100G;3;#006400;;;
